""	"SRR1777612_1"	"SRR1777613_1"	"SRR1777614_1"	"SRR1777615_1"	"SRR1777616_1"	"SRR1777617_1"
"Arhgap22"	198	239	191	213	168	217
"Arhgap23"	1527	1190	1137	930	948	1053
"Arhgap24"	871	581	598	571	529	615
"Arhgap25"	188	181	129	179	106	97
"Arhgap26"	1247	1532	938	1601	1201	1456
"Arhgap27"	3420	4314	2454	4344	3271	5125
"Arhgap27os3"	7	14	4	10	5	3
"Arhgap28"	529	487	452	493	419	415
"Arhgap29"	2131	1809	1586	1491	1446	1608
"Arhgap30"	449	467	295	444	360	252
"Arhgap31"	1187	1084	861	987	815	913
"Arhgap32"	5256	6787	3831	7333	5311	6860
"Arhgap33"	236	224	211	381	289	313
"Arhgap33os"	0	0	0	0	0	0
"Arhgap35"	4956	5297	3618	5671	3939	5338
"Arhgap36"	9	1	3	1	1	5
"Arhgap39"	1347	1321	974	1549	941	1557
"Arhgap4"	299	366	219	413	244	286
"Arhgap40"	28	25	23	0	14	24
"Arhgap42"	1964	2311	1642	2297	2023	2514
"Arhgap44"	541	340	346	271	294	327
"Arhgap5"	4022	5265	3140	4708	3367	4643
"Arhgap6"	861	671	630	641	704	658
"Arhgap8"	439	534	427	512	355	477
"Arhgap9"	185	182	129	144	133	145
"Arhgdia"	15882	18568	12958	18023	13555	20161
"Arhgdib"	1010	843	662	697	601	626
"Arhgdig"	75	61	46	41	55	77
"Arhgef1"	3667	3756	2855	3674	3095	4035
"Arhgef10"	1093	849	740	748	734	681
"Arhgef10l"	2463	2843	1922	2837	1758	2729
"Arhgef11"	3156	3602	2469	3847	2515	3715
"Arhgef12"	4656	4279	3606	4202	3641	4781
"Arhgef15"	434	284	323	263	273	310
"Arhgef16"	4458	6285	3777	6400	4121	6536
"Arhgef17"	3092	2188	2130	1849	1933	2109
"Arhgef18"	2108	2195	1484	2436	1936	2515
"Arhgef19"	741	831	630	778	658	1033
"Arhgef2"	2592	3008	1959	3233	2302	3259
"Arhgef25"	2044	1350	1316	1187	1567	1712
"Arhgef26"	1219	1218	847	1216	1039	1390
"Arhgef28"	1906	2212	1344	2324	1660	2339
"Arhgef3"	2178	2390	1643	2304	1703	2178
"Arhgef33"	6	9	9	1	3	9
"Arhgef37"	419	482	319	542	418	515
"Arhgef38"	88	108	70	104	30	64
"Arhgef39"	387	473	302	648	533	675
"Arhgef4"	166	80	94	53	90	104
"Arhgef40"	1711	1408	1228	1379	1356	1499
"Arhgef5"	5337	6507	3821	5881	4474	6741
"Arhgef6"	701	537	387	444	507	450
"Arhgef7"	2869	2754	2115	2743	2299	3038
"Arhgef9"	776	460	478	451	536	609
"Arid1a"	3986	4237	3068	4948	3850	5575
"Arid1b"	3210	3214	2283	3440	2647	3287
"Arid2"	2413	2681	1851	2578	2030	2712
"Arid3a"	493	457	293	379	295	374
"Arid3b"	394	389	279	381	307	369
"Arid3c"	0	0	0	0	1	1
"Arid4a"	2043	2261	1554	2459	1966	2512
"Arid4b"	2159	2417	1722	2412	1631	2362
"Arid5a"	368	388	240	309	239	256
"Arid5b"	960	818	760	1095	603	799
"Arih1"	4684	4938	3405	4799	3868	5208
"Arih2"	3641	4123	2783	3886	2908	4155
"Arl1"	4764	5671	3475	5170	3888	5263
"Arl10"	285	335	259	378	259	335
"Arl11"	90	54	42	69	68	76
"Arl13a"	1	3	0	0	2	1
"Arl13b"	1151	1177	672	1019	906	1086
"Arl14"	129	209	129	166	170	161
"Arl14ep"	766	793	553	851	684	760
"Arl14epl"	0	0	0	0	0	0
"Arl15"	355	342	268	322	329	310
"Arl16"	554	520	437	613	345	561
"Arl2"	1000	758	604	831	705	957
"Arl2bp"	3074	3104	2196	3201	2377	3481
"Arl3"	934	726	675	746	667	683
"Arl4a"	2868	3466	2597	2663	2451	3371
"Arl4c"	623	452	391	362	422	398
"Arl4d"	763	616	420	477	476	721
"Arl5a"	3585	3430	2485	3172	2576	3140
"Arl5b"	870	1083	589	994	724	843
"Arl5c"	113	102	66	83	71	61
"Arl6"	308	242	212	257	256	323
"Arl6ip1"	5932	6434	4488	7852	6072	7988
"Arl6ip4"	1557	1506	1208	1460	1398	1910
"Arl6ip5"	4805	4402	3566	3823	3282	4263
"Arl6ip6"	988	1130	738	1110	894	1028
"Arl8a"	2643	2476	1757	2281	2103	2541
"Arl8b"	4210	3942	2901	3722	3318	4178
"Arl9"	0	0	0	0	0	0
"Armc1"	1855	1830	1322	1897	1462	2079
"Armc10"	1657	1937	1154	1830	1436	1902
"Armc12"	0	0	0	0	0	1
"Armc2"	30	30	17	14	36	30
"Armc3"	17	44	23	26	32	41
"Armc4"	1	1	0	1	0	0
"Armc5"	764	883	641	1020	1019	1206
"Armc6"	223	274	144	277	268	291
"Armc7"	360	463	283	461	305	434
"Armc8"	2093	2258	1497	2091	1796	2344
"Armc9"	415	444	346	506	433	501
"Armcx1"	458	365	298	355	400	397
"Armcx2"	1061	778	693	636	745	712
"Armcx3"	2264	1739	1551	1681	1484	1690
"Armcx4"	545	391	332	424	349	348
"Armcx5"	262	236	209	252	261	262
"Armcx6"	98	86	101	86	72	94
"Armt1"	584	653	425	661	484	699
"Arnt"	2322	2387	1712	2440	2061	2495
"Arnt2"	56	52	52	42	31	53
"Arntl"	2951	3824	2474	3285	2180	3971
"Arntl2"	78	58	59	66	61	87
"Arpc1a"	4026	4591	3199	4487	3482	4994
"Arpc1b"	14462	17856	11405	17698	11825	17071
"Arpc2"	16295	18760	12440	17348	13355	19417
"Arpc3"	6621	7417	5031	7525	5780	8023
"Arpc4"	5000	5494	3884	5678	4058	5964
"Arpc5"	10549	13209	8272	12825	9257	13451
"Arpc5l"	2130	2026	1409	1934	1425	2213
"Arpin"	2212	2841	1845	2890	1825	2875
"Arpp19"	5088	5588	3984	5318	4192	5358
"Arpp21"	91	24	28	15	33	29
"Arr3"	0	1	0	0	0	0
"Arrb1"	5843	6572	4542	6302	4833	6111
"Arrb2"	628	622	483	604	514	492
"Arrdc1"	2284	2988	1802	2793	2535	3273
"Arrdc2"	395	511	320	543	461	495
"Arrdc3"	2850	3323	2197	3259	3585	3361
"Arrdc4"	4991	6299	3743	6658	5467	5936
"Arrdc5"	0	0	0	1	0	0
"Arsa"	893	866	656	1117	851	1015
"Arsb"	1631	1640	1235	1727	1258	1569
"Arsg"	340	373	195	308	273	360
"Arsi"	257	223	149	164	159	158
"Arsj"	191	148	83	150	124	141
"Arsk"	512	520	411	572	457	511
"Art1"	846	293	245	11	165	141
"Art2a-ps"	13	2	2	2	1	2
"Art2b"	1	0	0	0	1	1
"Art3"	3630	2075	2188	1414	2158	2197
"Art4"	50	27	35	16	37	25
"Art5"	135	34	28	12	27	29
"Artn"	67	73	54	77	75	47
"Arv1"	76	88	64	82	94	104
"Arvcf"	886	711	606	618	596	707
"Arx"	8	32	10	16	27	20
"Arxes1"	27	16	9	20	12	11
"Arxes2"	58	39	30	47	37	57
"As3mt"	1496	1887	1083	1910	1397	2144
"Asah1"	8378	10304	6518	10371	7688	10040
"Asah2"	732	710	525	844	663	819
"Asap1"	3067	3067	2235	2971	2453	2808
"Asap2"	2322	2779	1731	2744	2065	2744
"Asap3"	282	187	198	201	175	177
"Asb1"	601	466	419	431	452	542
"Asb10"	394	123	93	12	69	33
"Asb11"	333	262	138	295	233	368
"Asb12"	76	25	28	0	27	14
"Asb13"	1398	1645	1139	1527	1169	1380
"Asb14"	286	62	81	8	70	67
"Asb15"	22	13	2	0	5	3
"Asb16"	80	38	22	9	20	36
"Asb17"	0	0	0	0	0	0
"Asb17os"	0	0	0	0	0	0
"Asb18"	4	4	0	0	1	0
"Asb2"	4388	2109	2234	1601	2248	2370
"Asb3"	484	484	327	502	515	530
"Asb4"	37	18	16	13	21	9
"Asb5"	516	177	187	70	172	262
"Asb6"	917	960	665	853	793	952
"Asb7"	1124	1223	1007	1333	974	1420
"Asb8"	1987	1968	1327	1921	1436	2144
"Asb9"	0	0	0	0	0	0
"Ascc1"	1289	1103	778	1346	983	1315
"Ascc2"	1529	1923	1270	2085	1478	2086
"Ascc3"	1634	1994	1252	2023	1412	1856
"Ascl1"	29	19	28	10	35	37
"Ascl2"	140	223	128	230	141	215
"Ascl3"	1	6	9	5	6	1
"Ascl4"	1	6	3	2	0	11
"Ascl5"	0	0	0	0	0	0
"Asf1a"	848	852	603	761	618	834
"Asf1b"	697	1021	628	1060	645	1067
"Asgr1"	14	4	6	6	6	4
"Asgr2"	12	6	5	3	6	9
"Ash1l"	4003	4758	2926	4808	3658	4741
"Ash2l"	2473	2547	1746	2460	2080	2784
"Asic1"	203	228	162	215	185	217
"Asic2"	65	35	38	40	40	40
"Asic3"	4	2	0	4	8	13
"Asic4"	4	15	5	1	2	1
"Asic5"	1	5	1	0	0	0
"Asl"	1309	1522	1080	1464	1147	1672
"Asmt"	0	1	0	0	0	0
"Asna1"	1918	2154	1568	2119	1573	2326
"Asns"	795	942	600	729	646	982
"Asnsd1"	2008	2104	1270	1999	1661	2161
"Aspa"	244	205	157	180	230	174
"Aspdh"	1	0	0	0	1	0
"Aspg"	470	524	356	612	492	633
"Asph"	3643	3143	2430	3119	2486	3236
"Asphd1"	4	1	4	3	2	0
"Asphd2"	82	94	66	70	67	73
"Aspm"	436	475	311	903	552	763
"Aspn"	5693	3995	3903	3369	3959	3963
"Asprv1"	3623	1397	2623	216	1307	2875
"Aspscr1"	1652	1860	1330	1958	1583	2402
"Asrgl1"	601	548	353	486	408	488
"Ass1"	40	30	41	37	34	34
"Aste1"	289	364	236	369	251	419
"Astl"	0	0	0	0	0	0
"Astn1"	400	232	198	201	232	363
"Astn2"	128	59	81	58	84	107
"Asun"	1048	1184	767	1106	1007	1314
"Asxl1"	2801	3326	2120	3458	2542	3395
"Asxl2"	1706	2005	1274	2024	1596	2022
"Asxl3"	22	20	13	9	14	14
"Asz1"	0	0	0	0	0	0
"Atad1"	3957	4470	3046	4400	3699	4643
"Atad2"	1010	1244	873	1321	920	1238
"Atad2b"	1179	1409	910	1393	1073	1513
"Atad3a"	1686	1900	1228	1639	1409	2066
"Atad3aos"	33	20	19	14	20	23
"Atad5"	431	589	326	488	438	459
"Atat1"	291	235	203	238	259	360
"Atcay"	130	94	87	62	67	85
"Atcayos"	327	147	125	24	90	130
"Ate1"	2020	1901	1464	2001	1747	2198
"Atf1"	2168	2217	1592	2296	2038	2451
"Atf2"	2631	2589	1864	2877	2165	2807
"Atf3"	1461	1969	1242	1501	1106	1523
"Atf4"	6638	6630	4804	6040	5411	7361
"Atf5"	3227	2372	2327	2302	2425	2881
"Atf6"	3610	3822	2685	3967	2861	3703
"Atf6b"	2882	3341	2376	3039	2338	3291
"Atf7"	2195	2091	1632	2303	1861	2293
"Atf7ip"	1967	2247	1651	2659	1704	2119
"Atf7ip2"	9	7	7	29	20	13
"Atg10"	300	235	213	325	282	310
"Atg101"	2485	2910	2026	2426	1852	2790
"Atg12"	2375	2578	1869	2612	2111	2793
"Atg13"	2522	2530	1813	2639	2295	2733
"Atg14"	793	887	696	1035	971	987
"Atg16l1"	1305	1396	891	1340	1133	1492
"Atg16l2"	297	317	202	267	246	262
"Atg2a"	2347	2649	1816	2699	1979	2631
"Atg2b"	1751	1787	1267	1887	1568	2081
"Atg3"	1815	1818	1360	1669	1603	1961
"Atg4a"	669	832	448	648	583	745
"Atg4b"	1877	2091	1490	2156	1663	2072
"Atg4c"	867	1054	661	1038	731	983
"Atg4d"	2082	2545	1600	2789	1883	2852
"Atg5"	1656	1799	1213	1798	1434	1871
"Atg7"	1883	2071	1594	2330	1866	2401
"Atg9a"	3184	3611	2365	3442	3053	3719
"Atg9b"	241	140	212	44	152	272
"Athl1"	1357	1311	931	1553	1097	1551
"Atic"	2768	3276	2239	2962	2454	3423
"Atl1"	250	190	168	188	188	211
"Atl2"	4496	4264	3197	4139	3293	4406
"Atl3"	5562	5728	4213	5077	4942	5618
"Atm"	1486	1671	1049	1873	1377	1844
"Atmin"	1698	1967	1323	1735	1271	1951
"Atn1"	4985	5425	4115	5694	3787	5552
"Atoh1"	1418	1329	1031	2186	1201	1669
"Atoh7"	0	0	0	0	0	0
"Atoh8"	327	274	256	365	239	310
"Atox1"	2140	2419	1534	2253	1604	2461
"Atp10a"	961	764	634	785	693	803
"Atp10b"	6209	8698	4973	9944	5675	8744
"Atp10d"	237	185	203	148	184	166
"Atp11a"	3067	2859	2165	2561	2530	2711
"Atp11b"	7555	9939	6145	9372	7065	9879
"Atp11c"	1113	1077	688	1034	1025	1064
"Atp12a"	16421	19583	9767	22857	12425	21342
"Atp13a1"	2279	2721	1775	2735	1946	3007
"Atp13a2"	1619	1653	1208	1632	1334	1649
"Atp13a3"	9189	10845	7311	10021	7005	9652
"Atp13a4"	22	9	10	30	17	25
"Atp13a5"	14	1	6	0	3	9
"Atp1a1"	68861	84385	53493	94543	63676	93833
"Atp1a2"	7696	3410	3442	1541	3280	3644
"Atp1a3"	155	145	127	117	121	119
"Atp1a4"	0	0	0	0	1	0
"Atp1b1"	44073	58369	35948	62528	42895	66860
"Atp1b2"	1815	958	1183	772	1141	1105
"Atp1b3"	5127	4237	4001	3504	3765	4835
"Atp1b4"	140	51	43	1	31	11
"Atp2a1"	53807	16512	13552	521	10851	8429
"Atp2a2"	17749	16120	12895	14505	13285	17759
"Atp2a3"	30767	39103	25346	44116	27738	40626
"Atp2b1"	13957	18501	10720	16818	12283	17568
"Atp2b2"	39	33	40	24	18	39
"Atp2b3"	87	27	48	24	29	45
"Atp2b4"	13969	9495	9585	8172	9925	12092
"Atp2c1"	3760	3877	2792	3826	3078	3795
"Atp2c2"	3195	4639	2782	5065	3651	4511
"Atp4a"	10	3	4	26	3	17
"Atp4b"	0	0	0	0	0	0
"Atp5a1"	59072	62215	43058	63852	48804	69512
"Atp5b"	74818	79239	54009	82433	62433	90371
"Atp5c1"	16375	16518	11159	16501	12833	18496
"Atp5d"	12238	13543	9145	14590	10073	15454
"Atp5e"	7458	7533	4877	7208	5465	8553
"Atp5f1"	15880	16658	10804	16769	12147	18785
"Atp5g1"	7502	8034	5155	7156	5603	8218
"Atp5g2"	8149	8252	5812	8737	7046	10068
"Atp5g3"	23697	24289	17605	24480	18571	28881
"Atp5h"	9682	10062	7029	10263	7729	11385
"Atp5j"	10226	10490	7114	10528	8480	11626
"Atp5j2"	9193	9470	6119	9846	7210	10667
"Atp5k"	6413	6685	4401	6918	5380	8005
"Atp5l"	9454	8687	6042	8189	6354	10052
"Atp5o"	12663	13096	8890	13310	9809	15083
"Atp5s"	326	272	186	350	304	337
"Atp5sl"	941	1094	703	1315	1089	1251
"Atp6ap1"	6373	6579	4990	5937	4788	6417
"Atp6ap1l"	2	4	1	4	1	4
"Atp6ap2"	6551	7459	4921	7102	5358	7383
"Atp6v0a1"	3673	4158	2980	3750	2978	4193
"Atp6v0a2"	4926	5639	3597	5450	3953	6531
"Atp6v0a4"	145	65	124	10	66	139
"Atp6v0b"	3752	3979	2762	3759	2976	4294
"Atp6v0c"	114	130	60	123	97	110
"Atp6v0c-ps2"	0	0	0	0	1	2
"Atp6v0d1"	5022	5714	4097	5351	4215	5306
"Atp6v0d2"	13	7	16	12	10	17
"Atp6v0e"	2877	2891	2208	3028	2411	3159
"Atp6v0e2"	2451	2435	1870	2603	1956	2680
"Atp6v1a"	4904	5086	3557	4869	3585	4800
"Atp6v1b1"	0	0	1	0	1	1
"Atp6v1b2"	4344	4478	3219	4299	3730	4966
"Atp6v1c1"	2082	2140	1514	2126	1690	2257
"Atp6v1c2"	179	58	143	4	62	171
"Atp6v1d"	2314	2078	1527	2072	1624	2262
"Atp6v1e1"	4739	5097	3385	4481	3957	5193
"Atp6v1e2"	1	0	0	1	1	0
"Atp6v1f"	2536	2660	1832	2716	2111	3012
"Atp6v1g1"	5089	5513	3843	4920	4048	5473
"Atp6v1g2"	167	153	135	126	128	136
"Atp6v1g3"	0	0	0	0	0	0
"Atp6v1h"	2381	2524	1722	2480	1979	2796
"Atp7a"	2379	2777	1876	2675	1675	2486
"Atp7b"	202	233	140	194	153	260
"Atp8a1"	2222	2705	1835	2973	2131	3020
"Atp8a2"	484	661	404	781	462	829
"Atp8b1"	8197	10739	6543	12173	7675	11171
"Atp8b2"	1713	1415	1253	1267	1041	1163
"Atp8b3"	1	1	0	0	1	1
"Atp8b4"	51	36	30	20	53	11
"Atp8b5"	42	20	28	56	45	43
"Atp9a"	11488	13729	8666	14548	9591	14277
"Atp9b"	2250	2418	1659	2613	2102	2527
"Atpaf1"	1008	1040	736	1124	745	1151
"Atpaf2"	983	1065	760	1191	809	1198
"Atpif1"	6452	7220	4923	7567	5282	8019
"Atr"	843	782	583	860	795	1032
"Atraid"	2720	2744	2047	2750	2401	3192
"Atrip"	484	504	332	465	376	497
"Atrn"	2125	2137	1570	2557	1994	2618
"Atrnl1"	5288	6420	4281	6292	4612	6281
"Atrx"	4323	4875	3057	4842	3910	4562
"Atxn1"	1892	1850	1355	2179	1828	2162
"Atxn10"	1835	1451	1288	1541	1491	1725
"Atxn1l"	2464	2626	1985	2639	1875	2585
"Atxn2"	2010	2143	1541	2351	1527	2238
"Atxn2l"	3983	4787	3473	5181	4261	5811
"Atxn3"	2024	2237	1448	2323	1705	2149
"Atxn7"	1268	1589	965	1563	1495	1729
"Atxn7l1"	501	490	352	530	448	515
"Atxn7l1os2"	2	1	0	1	0	0
"Atxn7l2"	130	170	147	218	177	190
"Atxn7l3"	4123	4747	3081	4211	3128	4714
"Atxn7l3b"	5536	6070	4240	6123	4855	6433
"AU015228"	0	0	0	0	0	0
"AU015791"	4	2	5	4	9	7
"AU015836"	3	2	1	2	0	4
"AU016765"	0	0	0	0	0	0
"AU018091"	4	2	0	1	2	3
"AU019823"	1010	1064	771	1157	943	1185
"AU019990"	0	0	0	0	0	0
"AU021063"	0	0	0	0	0	0
"AU021092"	96	63	81	49	58	59
"AU022252"	504	541	382	506	377	550
"AU022751"	0	0	0	0	0	0
"AU022754"	2	5	3	1	2	4
"AU022793"	5	5	0	1	0	0
"AU023762"	15	20	14	20	17	23
"AU040320"	2957	3695	2314	4296	2764	3949
"AU040972"	0	1	1	1	0	2
"AU041133"	70	101	82	94	71	73
"Auh"	760	608	390	766	629	683
"Aunip"	89	174	106	165	97	137
"Aup1"	3629	4294	2845	4296	3221	4512
"Aurka"	529	621	472	1083	654	960
"Aurkaip1"	1981	2260	1501	2476	1905	2597
"Aurkb"	833	917	785	1616	906	1461
"Aurkc"	1	1	1	0	0	2
"Auts2"	583	641	450	792	754	911
"AV039307"	9	2	1	4	7	11
"AV051173"	16	10	6	5	7	25
"AV064505"	0	0	0	0	0	0
"AV320801"	0	0	0	0	0	0
"Aven"	641	687	490	688	542	860
"Avil"	95	126	82	98	123	133
"Avl9"	4122	5143	3045	5760	3978	5509
"Avp"	0	0	0	0	0	1
"Avpi1"	619	567	477	415	429	561
"Avpr1a"	331	249	241	109	212	208
"Avpr1b"	67	175	60	140	88	134
"Avpr2"	3	6	0	0	9	6
"AW011738"	64	44	58	44	43	38
"AW046200"	7	8	2	10	15	23
"AW112010"	1771	2176	1301	2554	1939	2360
"AW146154"	232	281	197	328	225	304
"AW209491"	659	716	467	619	523	684
"AW495222"	0	0	0	0	1	0
"AW549542"	45	42	38	23	43	57
"AW549877"	2533	2768	1786	2472	2709	2607
"AW551984"	440	390	243	293	310	348
"AW554918"	333	329	332	499	372	455
"AW822252"	0	0	0	0	0	3
"Awat1"	1026	277	604	39	433	515
"Awat2"	91	24	69	18	114	75
"Axin1"	2924	3144	2134	2999	2311	3316
"Axin2"	1406	1678	1198	1541	1049	1584
"Axl"	7278	5962	5249	5205	4868	5127
"AY074887"	205	219	179	222	177	205
"AY358078"	0	0	0	0	1	0
"AY512915"	0	0	0	0	0	0
"AY512931"	22	22	14	28	32	43
"AY702102"	0	0	0	0	0	0
"AY702103"	0	0	0	0	0	0
"AY761184"	0	0	0	0	0	0
"AY761185"	0	0	0	0	0	0
"Aym1"	0	0	0	0	0	0
"Azgp1"	33	9	11	19	14	17
"Azi2"	3722	4623	2969	4251	3637	4899
"Azin1"	8487	12263	7165	10030	7267	9614
"Azin2"	353	347	264	272	259	286
"B020004C17Rik"	0	3	0	0	0	0
"B020004J07Rik"	0	0	0	0	0	0
"B020014A21Rik"	5	0	2	6	4	3
"B020018J22Rik"	0	1	0	0	0	0
"B020031M17Rik"	0	0	0	0	0	0
"B130006D01Rik"	1	0	4	0	4	2
"B130024G19Rik"	34	13	29	22	19	10
"B130034C11Rik"	29	26	7	31	13	38
"B230110G15Rik"	0	0	0	0	0	0
"B230112J18Rik"	0	0	0	0	0	0
"B230118H07Rik"	654	481	440	425	481	582
"B230119M05Rik"	0	0	0	0	0	0
"B230206H07Rik"	30	56	31	53	74	164
"B230208H11Rik"	4	21	13	6	5	10
"B230209E15Rik"	1	0	1	2	2	3
"B230214G05Rik"	0	0	0	0	0	0
"B230216N24Rik"	25	11	14	12	13	9
"B230217C12Rik"	50	34	18	29	32	29
"B230217O12Rik"	44	34	23	22	17	27
"B230219D22Rik"	4746	4272	3484	4415	3978	4692
"B230307C23Rik"	142	197	114	157	167	150
"B230312C02Rik"	42	27	23	20	39	48
"B230319C09Rik"	3	2	6	6	9	2
"B230323A14Rik"	0	0	0	0	0	0
"B230354K17Rik"	661	725	475	776	614	744
"B2m"	13176	11913	9085	12450	9835	10889
"B330016D10Rik"	106	111	73	96	115	95
"B3galnt1"	515	376	331	316	384	484
"B3galnt2"	1615	1491	1159	1482	1409	1579
"B3galt1"	95	45	38	14	56	69
"B3galt2"	77	51	32	30	21	46
"B3galt4"	354	378	281	420	284	414
"B3galt5"	14406	21307	11637	26404	13832	21525
"B3galt6"	278	290	240	294	245	373
"B3gat1"	11	1	1	0	4	1
"B3gat2"	23	15	11	21	33	38
"B3gat3"	1637	1662	1186	1740	1283	2005
"B3glct"	860	711	616	825	793	933
"B3gnt2"	3720	4227	2884	3890	3119	4750
"B3gnt3"	6361	8528	5076	9136	6126	8899
"B3gnt4"	10	18	10	17	20	13
"B3gnt5"	5007	7645	4199	8714	5338	7195
"B3gnt6"	11	23	13	19	9	39
"B3gnt7"	19743	26165	16278	32803	18121	31123
"B3gnt8"	323	250	216	245	193	186
"B3gnt9"	349	403	260	338	332	331
"B3gntl1"	259	296	217	291	260	288
"B430010I23Rik"	1	11	4	6	8	10
"B430212C06Rik"	59	38	21	35	29	38
"B430306N03Rik"	15	23	4	6	6	7
"B430319G15Rik"	65	25	34	31	21	31
"B4galnt1"	633	596	425	513	403	433
"B4galnt2"	2263	4645	1824	4235	2487	3143
"B4galnt3"	3024	3971	2433	4935	3251	4283
"B4galnt4"	138	167	106	92	64	102
"B4galt1"	11439	14417	8989	15664	10522	16649
"B4galt2"	814	499	483	472	531	652
"B4galt3"	1118	1365	916	1432	1029	1476
"B4galt4"	1840	2319	1376	2275	1371	2201
"B4galt5"	2370	2413	1564	2452	1788	2527
"B4galt6"	2268	2593	1772	2516	1529	2547
"B4galt7"	601	691	493	690	506	692
"B4gat1"	1518	1273	918	1189	954	1286
"B630005N14Rik"	1549	1751	1197	1860	1511	1861
"B630019K06Rik"	81	81	85	101	69	98
"B830017H08Rik"	0	0	1	0	0	0
"B930018H19Rik"	2	0	2	0	2	0
"B930025P03Rik"	0	1	1	1	1	1
"B930041F14Rik"	255	262	161	132	176	189
"B930059L03Rik"	9	9	20	11	18	26
"B930092H01Rik"	0	0	0	0	0	0
"B9d1"	276	161	184	258	192	264
"B9d2"	276	252	202	222	184	212
"Baalc"	11	1	3	2	2	4
"Baat"	5	1	1	5	3	27
"Babam1"	2843	3025	2138	3268	2405	3596
"Bace1"	1689	1443	1154	1506	1247	1488
"Bace2"	1404	1239	963	1322	1081	1272
"Bach1"	2651	3267	2057	3009	2407	2989
"Bach2"	121	114	83	125	102	83
"Bach2os"	1	0	0	1	2	1
"Bad"	1301	1466	1017	1506	959	1494
"Bag1"	8354	9369	6193	9513	7142	9928
"Bag2"	1288	825	861	738	802	1114
"Bag3"	3674	3358	2732	3136	2697	3592
"Bag4"	1309	1331	957	1334	1046	1452
"Bag5"	1347	1216	970	1138	988	1332
"Bag6"	7543	8092	5902	8435	6503	9357
"Bahcc1"	1078	1362	954	1685	1287	1666
"Bahd1"	2235	2464	1734	2602	1646	2560
"Baiap2"	1126	1361	1083	940	918	1258
"Baiap2l1"	5847	7788	4950	8242	5786	8792
"Baiap2l2"	1410	1930	1220	1889	1501	2391
"Baiap3"	113	150	98	216	156	147
"Bak1"	4353	5751	3410	6073	4142	6701
"Bambi"	333	338	278	307	266	381
"Bambi-ps1"	38	16	26	21	20	43
"Banf1"	2853	2913	2194	3079	2307	3611
"Banf2"	0	0	0	0	0	0
"Bank1"	145	141	103	190	107	85
"Banp"	560	514	322	503	461	672
"Bap1"	2227	2271	1643	2468	1864	2471
"Bard1"	222	190	130	277	203	284
"Barhl1"	0	1	1	0	0	0
"Barhl2"	0	0	2	0	2	3
"Barx1"	17	8	1	7	8	0
"Barx2"	393	239	293	127	248	381
"Basp1"	667	478	439	513	486	424
"Batf"	23	18	20	24	12	33
"Batf2"	569	822	465	764	501	954
"Batf3"	65	35	49	25	60	47
"Bax"	2090	2126	1599	2024	1714	2287
"Baz1a"	1112	1300	789	1154	750	1327
"Baz1b"	4354	4681	3224	4825	3569	5053
"Baz2a"	5412	6176	4255	6299	4341	6982
"Baz2b"	1812	2044	1305	1899	1844	1999
"BB014433"	3	1	0	1	0	0
"BB019430"	1	1	0	1	0	0
"BB031773"	0	0	0	0	0	0
"BB123696"	5	1	5	0	3	0
"BB283400"	6	2	6	7	2	6
"BB287469"	0	1	0	0	0	0
"BB557941"	1	1	0	1	4	0
"Bbc3"	443	547	339	412	558	501
"Bbip1"	873	829	634	852	808	1091
"Bbox1"	197	76	86	59	105	170
"Bbs1"	262	245	195	266	232	309
"Bbs10"	108	51	58	115	59	90
"Bbs12"	121	90	107	100	96	110
"Bbs2"	440	409	349	484	477	433
"Bbs4"	419	342	288	382	374	365
"Bbs5"	197	176	145	194	172	183
"Bbs7"	446	400	266	441	364	468
"Bbs9"	371	288	253	369	305	351
"Bbx"	1380	1441	1048	1338	1194	1234
"BC002163"	119	126	128	147	99	154
"BC003331"	1590	1616	1095	1142	1426	1857
"BC003965"	879	954	552	982	739	1104
"BC004004"	2642	2700	1970	2694	2166	3126
"BC005537"	5264	5572	4048	5917	4873	5965
"BC005561"	353	341	270	303	243	401
"BC005624"	1674	1602	1220	1780	1530	1936
"BC006965"	4	5	9	5	3	6
"BC016548"	3	4	1	2	3	4
"BC016579"	903	1429	770	1214	1104	1318
"BC017158"	936	1105	814	1087	899	1056
"BC017643"	1215	1437	997	1524	1219	1619
"BC018473"	12	11	4	11	8	12
"BC020402"	104	135	94	131	145	135
"BC021614"	281	392	240	332	241	427
"BC021767"	3	20	3	7	8	16
"BC021785"	22	16	4	22	19	11
"BC021891"	1313	1767	1002	1765	1395	1848
"BC022687"	219	179	200	160	139	188
"BC023829"	721	716	518	740	528	733
"BC024139"	52	45	40	67	63	102
"BC024386"	3	6	3	7	3	4
"BC024978"	191	279	128	237	255	365
"BC025920"	38	35	15	32	28	35
"BC026585"	373	463	289	488	398	538
"BC027072"	1	0	0	0	0	0
"BC027231"	591	768	506	849	660	793
"BC028528"	69	60	39	50	49	37
"BC029214"	441	426	269	393	352	421
"BC029722"	627	540	470	552	458	580
"BC030336"	730	597	468	567	554	655
"BC030499"	7	10	3	5	9	7
"BC030500"	5	2	5	6	15	3
"BC030867"	132	166	111	223	169	206
"BC030870"	3757	5416	3000	5280	3957	5611
"BC031181"	3267	3736	2352	3528	2908	4064
"BC031361"	50	62	46	69	50	69
"BC035044"	34	36	24	40	35	29
"BC037032"	31	27	29	49	42	60
